donation_id,donor_id,donation_date,amount,campaign,payment_method,is_recurring
D101954,DON1258,2025-06-01,104.73,Monthly Giving,check,False
D100749,DON1376,2025-03-04,73.37,Alumni Fund,credit_card,False
D100195,DON1319,2026-06-30,486.21,Alumni Fund,ach,False
D100963,DON1189,2025-10-27,196.3,Corporate Match,credit_card,False
D101326,DON1356,2025-06-13,56.41,Monthly Giving,paypal,False
D100171,DON1217,2025-09-27,122.18,Spring Appeal,credit_card,True
D101653,DON1046,2024-12-19,66.47,Alumni Fund,check,False
D100648,DON1380,2026-01-05,151.43,Alumni Fund,paypal,False
D102038,DON1256,2025-11-26,98.43,Gala 2026,stock_transfer,False
D101138,DON1179,2024-08-27,238.85,Alumni Fund,paypal,False
D102486,DON1055,2025-07-29,102.12,Gala 2025,paypal,False
D102026,DON1213,2025-07-24,361.6,Gala 2026,check,True
D100531,DON1199,2024-12-02,12.01,Spring Appeal,stock_transfer,False
D101456,DON1072,2025-12-23,204.19,Gala 2026,credit_card,False
D102107,DON1023,2025-02-28,131.57,Gala 2026,check,False
D100252,DON1138,2025-07-07,21347.72,Gala 2025,check,False
D102499,DON1106,2025-07-21,88.34,Gala 2026,stock_transfer,True
D101331,DON1378,2024-09-06,241.97,Year-End Giving,credit_card,False
D102468,DON1256,2025-10-01,158.75,Gala 2025,check,False
D100322,DON1288,2025-05-12,285.02,Year-End Giving,stock_transfer,False
D101602,DON1174,2026-06-08,43.76,Year-End Giving,stock_transfer,False
D101736,DON1083,2025-09-21,489.55,Gala 2025,paypal,True
D100135,DON1185,2024-11-24,300.97,Spring Appeal,credit_card,False
D101390,DON1390,2024-09-29,347.54,Year-End Giving,check,False
D100499,DON1156,2026-07-07,91.58,Gala 2025,stock_transfer,False
D101084,DON1248,2026-07-07,472.32,Spring Appeal,check,False
D101624,DON1358,2025-05-29,42.28,Gala 2025,check,False
D101594,DON1250,2026-03-10,310.04,Corporate Match,credit_card,False
D101750,DON1380,2025-07-06,471.59,Year-End Giving,ach,True
D100858,DON1101,2026-04-06,108.62,Spring Appeal,check,True
D101743,DON1367,2025-05-26,304.21,Gala 2026,credit_card,False
D102488,DON1115,2026-02-10,297.95,Monthly Giving,check,False
D102367,DON1041,2025-09-18,472.75,Gala 2025,check,False
D100057,DON1251,2026-07-14,467.51,Alumni Fund,check,False
D100444,DON1284,2025-06-15,230.2,Alumni Fund,check,False
D100325,DON1361,2026-07-13,298.31,Corporate Match,stock_transfer,True
D100439,DON1395,2025-04-04,54.79,Monthly Giving,check,False
D102012,DON1398,2026-08-10,168.98,Alumni Fund,stock_transfer,False
D100045,DON1188,2024-12-28,259.47,Monthly Giving,credit_card,True
D101005,DON1381,2024-11-19,406.09,Spring Appeal,paypal,False
D101654,DON1350,2025-01-04,423.02,Year-End Giving,paypal,True
D100621,DON1361,2026-02-02,295.99,Gala 2026,paypal,False
D101469,DON1395,2026-06-28,55.5,Year-End Giving,stock_transfer,False
D102342,DON1323,2025-10-27,102.3,Monthly Giving,stock_transfer,False
D101794,DON1361,2026-05-17,297.96,Spring Appeal,ach,True
D102240,DON1065,2025-08-08,334.48,Monthly Giving,check,False
D101967,DON1158,2026-06-13,481.01,Alumni Fund,stock_transfer,False
D101865,DON1307,2026-07-15,382.85,Spring Appeal,paypal,False
D100760,DON1237,2026-06-27,202.55,Spring Appeal,paypal,False
D102029,DON1293,2026-06-09,313.12,Monthly Giving,paypal,False
D101303,DON1277,2026-05-19,403.18,Spring Appeal,check,False
D101778,DON1154,2024-12-10,208.31,Monthly Giving,check,False
D101095,DON1206,2026-08-14,343.49,Gala 2026,check,False
D101730,DON1137,2026-07-04,491.03,Monthly Giving,credit_card,False
D101245,DON1031,2026-06-06,252.73,Alumni Fund,paypal,False
D101136,DON1012,2025-07-12,115.99,Gala 2025,credit_card,False
D102018,DON1122,2026-02-21,442.71,Alumni Fund,credit_card,False
D100240,DON1096,2024-11-02,237.88,Year-End Giving,check,False
D101222,DON1175,2025-01-17,456.38,Corporate Match,stock_transfer,False
D101773,DON1108,2025-12-19,1596054.31,Alumni Fund,credit_card,False
