employee_id,week_ending_date,hours_logged,program_area
EMP1001,2026-08-14,19.3,College Persistence
EMP1001,2026-08-07,20.5,Career Readiness
EMP1001,2026-07-31,21.2,Alumni Support
EMP1001,2026-07-24,17.2,College Persistence
EMP1001,2026-07-17,18.2,Alumni Support
EMP1001,2026-07-10,21.1,College Persistence
EMP1001,2026-07-03,17.1,College Access
EMP1001,2026-06-26,17.6,College Persistence
EMP1001,2026-06-19,17.0,College Access
EMP1001,2026-06-12,16.6,College Access
EMP1001,2026-06-05,16.2,Career Readiness
EMP1001,2026-05-29,18.3,Alumni Support
EMP1001,2026-05-22,16.6,Alumni Support
EMP1001,2026-05-15,17.3,Alumni Support
EMP1001,2026-05-08,16.1,Alumni Support
EMP1001,2026-05-01,18.7,College Persistence
EMP1001,2026-04-24,16.3,College Persistence
EMP1001,2026-04-17,20.7,College Access
EMP1001,2026-04-10,19.6,College Persistence
EMP1001,2026-04-03,18.3,Alumni Support
EMP1001,2026-03-27,20.3,College Access
EMP1001,2026-03-20,19.4,College Persistence
EMP1001,2026-03-13,18.5,College Access
EMP1001,2026-03-06,16.1,Alumni Support
EMP1001,2026-02-27,18.9,Career Readiness
EMP1001,2026-02-20,16.2,College Access
EMP1001,2026-02-13,19.0,College Persistence
EMP1001,2026-02-06,18.0,College Access
EMP1001,2026-01-30,16.2,Alumni Support
EMP1001,2026-01-23,17.3,Alumni Support
EMP1001,2026-01-16,16.5,College Access
EMP1001,2026-01-09,19.9,College Persistence
EMP1001,2026-01-02,17.0,College Access
EMP1001,2025-12-26,17.2,Alumni Support
EMP1001,2025-12-19,19.4,Alumni Support
EMP1001,2025-12-12,21.3,Alumni Support
EMP1001,2025-12-05,19.0,College Persistence
EMP1001,2025-11-28,16.7,Career Readiness
EMP1001,2025-11-21,17.9,Career Readiness
EMP1001,2025-11-14,20.5,College Access
EMP1001,2025-11-07,22.0,College Access
EMP1001,2025-10-31,19.4,College Access
EMP1001,2025-10-24,18.8,College Access
EMP1001,2025-10-17,18.7,Career Readiness
EMP1001,2025-10-10,17.5,College Access
EMP1001,2025-10-03,21.9,College Persistence
EMP1001,2025-09-26,21.0,Career Readiness
EMP1001,2025-09-19,17.8,College Persistence
EMP1001,2025-09-12,17.1,College Persistence
EMP1001,2025-09-05,16.6,Alumni Support
EMP1001,2025-08-29,16.1,Career Readiness
EMP1001,2025-08-22,17.1,Career Readiness
EMP1001,2025-08-15,20.5,College Persistence
EMP1001,2025-08-08,21.7,College Access
EMP1001,2025-08-01,19.5,Career Readiness
EMP1001,2025-07-25,20.5,Alumni Support
EMP1001,2025-07-18,20.8,Alumni Support
EMP1001,2025-07-11,21.3,Alumni Support
EMP1001,2025-07-04,19.7,College Persistence
EMP1001,2025-06-27,20.0,Alumni Support
EMP1001,2025-06-20,19.8,Career Readiness
EMP1001,2025-06-13,17.9,College Persistence
EMP1001,2025-06-06,21.5,Alumni Support
EMP1001,2025-05-30,18.5,Alumni Support
EMP1001,2025-05-23,19.6,Career Readiness
EMP1001,2025-05-16,20.3,College Access
EMP1001,2025-05-09,21.8,College Persistence
EMP1001,2025-05-02,17.6,Career Readiness
EMP1001,2025-04-25,21.0,Career Readiness
EMP1001,2025-04-18,19.5,Career Readiness
EMP1001,2025-04-11,16.7,College Access
EMP1001,2025-04-04,16.8,College Access
EMP1001,2025-03-28,19.4,College Access
EMP1001,2025-03-21,17.9,College Access
EMP1001,2025-03-14,17.0,Alumni Support
EMP1001,2025-03-07,19.2,Alumni Support
EMP1001,2025-02-28,22.0,Career Readiness
EMP1001,2025-02-21,20.4,Alumni Support
EMP1001,2025-02-14,17.5,Alumni Support
EMP1001,2025-02-07,20.7,Alumni Support
EMP1001,2025-01-31,16.8,Alumni Support
EMP1001,2025-01-24,18.3,College Access
EMP1001,2025-01-17,21.4,Career Readiness
EMP1001,2025-01-10,17.9,Career Readiness
EMP1001,2025-01-03,16.1,College Persistence
EMP1001,2024-12-27,18.6,College Access
EMP1001,2024-12-20,21.9,College Access
EMP1001,2024-12-13,19.4,Alumni Support
EMP1001,2024-12-06,17.7,College Persistence
EMP1001,2024-11-29,16.5,Career Readiness
EMP1001,2024-11-22,16.3,Alumni Support
EMP1001,2024-11-15,19.4,College Persistence
EMP1001,2024-11-08,18.4,College Persistence
EMP1001,2024-11-01,21.0,Career Readiness
EMP1001,2024-10-25,21.9,Career Readiness
EMP1001,2024-10-18,19.2,Alumni Support
EMP1001,2024-10-11,17.6,College Access
EMP1001,2024-10-04,19.0,College Access
